
Message: Testing functionality
Message: Testing 'Again'
Message: Testing 'Once' 'More'
Message: Actual sleep time: 0
Message: Intended sleep time: -56
Message: Tick 1 just completed
Message: Actual sleep time: 0
Message: Intended sleep time: -26
Message: Tick 2 just completed
Message: Actual sleep time: 0
Message: Intended sleep time: -4
Message: Tick 3 just completed
Message: Actual sleep time: 14
Message: Intended sleep time: 13
Message: Tick 4 just completed
Message: Actual sleep time: 29
Message: Intended sleep time: 29
Message: Tick 5 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 6 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 7 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 8 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 9 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 10 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 11 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 12 just completed
Message: Actual sleep time: 31
Message: Intended sleep time: 31
Message: Tick 13 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 14 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 15 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 16 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 24
Message: Tick 17 just completed
Message: Actual sleep time: 24
Message: Intended sleep time: 24
Message: Tick 18 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 32
Message: Tick 19 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 32
Message: Tick 20 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 32
Message: Tick 21 just completed
Message: Actual sleep time: 34
Message: Intended sleep time: 33
Message: Tick 22 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 23 just completed
Message: Actual sleep time: 31
Message: Intended sleep time: 31
Message: Tick 24 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 25 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 26 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 27 just completed
Message: Actual sleep time: 30
Message: Intended sleep time: 30
Message: Tick 28 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 29 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 30 just completed
Message: Actual sleep time: 30
Message: Intended sleep time: 29
Message: Tick 31 just completed
Message: Actual sleep time: 31
Message: Intended sleep time: 31
Message: Tick 32 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 33 just completed
Message: Actual sleep time: 31
Message: Intended sleep time: 31
Message: Tick 34 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 35 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 36 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 37 just completed
Message: Actual sleep time: 30
Message: Intended sleep time: 30
Message: Tick 38 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 39 just completed
Message: Actual sleep time: 31
Message: Intended sleep time: 31
Message: Tick 40 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 32
Message: Tick 41 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 32
Message: Tick 42 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 32
Message: Tick 43 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 44 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 45 just completed
Message: Actual sleep time: 31
Message: Intended sleep time: 31
Message: Tick 46 just completed
Message: Actual sleep time: 34
Message: Intended sleep time: 33
Message: Tick 47 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 48 just completed
Message: Actual sleep time: 31
Message: Intended sleep time: 31
Message: Tick 49 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 50 just completed
Message: Actual sleep time: 30
Message: Intended sleep time: 30
Message: Tick 51 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 52 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 32
Message: Tick 53 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 54 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 55 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 56 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 57 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 58 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 59 just completed
Message: Actual sleep time: 30
Message: Intended sleep time: 30
Message: Tick 60 just completed
Message: Actual sleep time: 33
Message: Intended sleep time: 32
Message: Tick 61 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 62 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 63 just completed
Message: Actual sleep time: 31
Message: Intended sleep time: 31
Message: Tick 64 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 32
Message: Tick 65 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 32
Message: Tick 66 just completed
Message: Actual sleep time: 35
Message: Intended sleep time: 33
Message: Tick 67 just completed
Message: Actual sleep time: 32
Message: Intended sleep time: 31
Message: Tick 68 just completed
Message: Actual sleep time: 33
